sku,name,on_website,source_price
250011001,Sofa Deep Charm,True,0
250011002,Sofa Deep Charm,False,0
250011006,Sofa Rena,True,0
250011007,Armchair Bauhaus,True,0
250011008,Armchair Bauhaus,False,0
250011009,Armchair Cube,True,0
250011010,Armchair Boss,True,0
250011011,Armchair Backstage,True,0
250011012,Armchair Mason,True,0
250011013,Armchair Gerbera,True,0
250011014,Armchair Elise,True,0
250011015,Armchair Deep Charm,True,0
250011016,Armchair Deep Charm,False,0
250011021,Chair Gigi,True,0
250011022,Barstool Ethan,True,0
250011023,Chair Palace,True,0
250011024,Chair William,True,0
250011025,Chair Campaign,True,0
250021001,Coffee Table Adele L,True,0
250021002,Coffee Table Adele M,True,0
250021003,Coffee Table Cube,True,0
250041008,Chandelier Celeste,True,0
250041009,Chandelier Melania,True,0
255021004,Dining Table Alpha,True,0
255021005,Console Table Alpha,True,0
255021006,Console Table Building,True,0
255021007,Dining Table Graf,True,0
